episode_index,episode_steps,episode_duration_steps,episode_duration_seconds,outcome,outcome_seekers,outcome_hiders,winner,hidersCaptured,stepsHidden,timeHidden,hidersPerfectGame,gracePeriodEnded
2,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
3,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,27,0.045,False,True
4,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
5,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,25,0.042,False,True
6,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
7,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
8,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,62,0.103,False,True
9,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
10,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
11,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,5,0.008,False,True
12,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,99,0.165,False,True
13,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,11,0.018,False,True
14,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,70,0.117,False,True
15,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,0,0.0,False,True
16,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,11,0.018,False,True
17,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,48,0.08,False,True
18,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,14,0.023,False,True
19,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,5,0.008,False,True
20,1000,1000,20.0,Timeout,Timeout,Timeout,nan,0,5,0.008,False,True
