,a_mean,b_mean,diff
Environment/Cumulative Reward,0.012679250102560475,0.6067924995397059,0.5941132494371455
Environment/Episode Length,95.16666666666667,95.22222222222223,0.05555555555555555
Environment/HiderWinRatio,0.0,0.0,0.0
Environment/HidersMeanX,-0.2937201799170391,0.5487744118451972,0.8424945917622363
Environment/HidersMeanZ,0.07955186129421801,0.4546648036386516,0.37511294234443354
Environment/SeekersMeanX,-0.45745001854123296,-0.904991864956714,-0.44754184641548106
Environment/SeekersMeanZ,0.35314670366209905,-0.37418198686193777,-0.7273286905240368
Environment/TimeHidden,0.142839508338107,0.026697531239026122,-0.11614197709908088
Policy/Curiosity Reward,0.0,0.0,0.0
Policy/Curiosity Value Estimate,-0.04349189673392278,0.24763067460285043,0.2911225713367732
Policy/Entropy,3.2106510559717814,3.1299399216969808,-0.08071113427480062
Policy/Extrinsic Reward,2.012679264230548,2.6067925320481353,0.5941132678175872
Policy/Extrinsic Value Estimate,-0.03675748915675114,1.5266345334502887,1.5633920226070397
Self-play/ELO,1472.4918891059028,1504.2111680772568,31.719278971354168
